"","state","abortion_rate_occurrence","abortion_rate_residence","percentage_of_travel","maternal_mortality_rate","policy_index","fertility_rate","facility_density","change_open_facilities","facilities_only_procedural_abortion","Facilities_only_medication_abortion","Facilities_both","Gestational_limit_medication_abortion","Gestational_limit_procedural_abortion","cost_medication_abortion","cost_first_trimester","cost_second_trimester","Accepts_insurance","Number_of_independent_clinics","Number_of_Planned_Parenthoods","Bachelor_Degree","High_School","percentage_of_poverty"
"1","Alabama",6,9.5,47,36.2021112151842,-5,60.6,368957,0,33,0,67,10,21,525,500,1070.56097560976,0,100,0,27.8,88,13.9
"2","Alaska",8.6,9.2,7,27.2321884467441,2,65.7,32300,-1,0,20,80,11,14,800,800,900,80,20,80,31.9,93.7,11.8
"3","Arizona",9.3,9.7,6,28.264675483558,-6,54,201690,0,0,13,88,10,17,605,620,1510,63,50,50,33,89.1,10.4
"4","Arkansas",5.6,7.8,37,40.428914024239,-6,60.7,335159,-1,0,50,50,11,21,722,625,1070.56097560976,0,50,50,24.9,88.2,14.1
"5","California",19.2,19,0,10.2144427680989,6,52.4,57085,4,2,54,44,10,18,680,700,1170,93,39,61,36.9,84.4,10.6
"6","Colorado",11.2,9.9,1,14.4193796462446,0,51.5,58752,3,4,44,52,11,20,458,540,1500,74,48,52,44.2,92.7,9.4
"7","Connecticut",16.7,17.1,6,17.5707466591178,3,49.9,65529,-6,0,50,50,11,17,650,760,802,100,17,83,42.4,91.6,9.8
"8","Delaware",10,15.8,44,15.8353127474268,-1,57,104454,0,0,0,100,11,16,490,490,716,100,0,100,34.7,91,8.5
"9","District of Columbia",48.9,26.1,45,NA,-1.52,56.794,41744,-1,0,0,100,10,27,425,510,888,60,80,20,63.6,93.8,14.6
"10","Florida",19.7,18.8,1,21.651835415339,-2,53.4,86020,-4,0,12,89,10,17,550,550,838,58,74,26,33.7,89.6,12.4
"11","Georgia",18.9,16.6,5,28.7987712524266,-3,55.7,181350,-2,0,29,71,11,14,500,528,750,57,71,29,34.8,89.3,12.7
"12","Hawaii",12.1,12.1,2,14.1260039552811,4,61.1,99090,0,0,0,100,11,18,845,845,1027,100,33,67,35.5,93.3,9.7
"13","Idaho",4.8,6,26,16.923337282112,-3,60.9,98720,0,0,50,50,11,14,650,575,1070.56097560976,75,25,75,30.9,91.3,8.1
"14","Illinois",21.3,17.1,1,12.9112162604814,3,53.8,96509,1,0,43,57,10,20,470,480,545,87,47,53,37.6,90.4,8.6
"15","Indiana",6,8.2,31,28.2016083211334,-6,59.8,216785,0,0,29,71,10,14,834,834,1070.56097560976,71,43,57,28.9,90.2,11.1
"16","Iowa",5.9,5.9,12,12.5506508408936,-2,60.4,113702,0,0,50,50,10,20,730,820,1065,83,17,83,29.5,93.1,9.3
