Facilities offering only medication abortion only, n (%)
State,2017,2018,2019,2020
Connecticut,13 (68),12 (67),12 (67),6 (50)
Maine,17 (85),17 (85),15 (83),17 (85)
Massachusetts,0 (0),0 (0),0 (0),2 (11)
New Hampshire,1 (17),1 (17),1 (17),1 (20)
Rhode Island,0 (0),0 (0),1 (33),0 (0)
Vermont,3 (50),3 (50),3 (50),3 (50)
New Jersey,22 (45),17 (39),17 (39),20 (47)
New York,29 (32),31 (33),31 (35),31 (34)
Pennsylvania,4 (24),3 (25),4 (25),3 (20)
Illinois,9 (38),8 (33),12 (41),13 (43)
Indiana,1 (17),1 (17),2 (29),2 (29)
Michigan,5 (22),5 (22),6 (29),7 (32)
Ohio,1 (9),1 (11),3 (30),2 (22)
Wisconsin,0 (0),0 (0),1 (25),1 (25)
Iowa,3 (50),3 (50),3 (50),3 (50)
Kansas,1 (25),1 (25),1 (25),1 (25)
Minnesota,0 (0),0 (0),1 (20),1 (20)
Missouri,0 (0),0 (0),1 (50),0 (0)
Nebraska,0 (0),0 (0),0 (0),0 (0)
North Dakota,0 (0),0 (0),0 (0),0 (0)
South Dakota,0 (0),0 (0),0 (0),0 (0)
Delaware,1 (33),1 (33),0 (0),0 (0)
District of Columbia,0 (0),0 (0),0 (0),0 (0)
Florida,5 (8),4 (7),7 (12),6 (12)
Georgia,4 (24),4 (24),4 (25),4 (29)
Maryland,4 (16),4 (18),5 (24),4 (22)
North Carolina,0 (0),0 (0),1 (7),1 (7)
South Carolina,0 (0),0 (0),0 (0),0 (0)
Virginia,1 (7),0 (0),1 (7),1 (6)
West Virginia,0 (0),0 (0),0 (0),0 (0)
Alabama,0 (0),0 (0),0 (0),0 (0)
Kentucky,0 (0),0 (0),0 (0),0 (0)
Mississippi,0 (0),0 (0),0 (0),0 (0)
Tennessee,2 (25),2 (25),3 (38),2 (25)
Arkansas,2 (67),2 (67),2 (67),1 (50)
Louisiana,0 (0),0 (0),0 (0),0 (0)
Oklahoma,1 (25),0 (0),1 (25),0 (0)
Texas,0 (0),0 (0),2 (9),2 (9)
Arizona,1 (13),1 (13),1 (13),1 (13)
Colorado,8 (38),8 (38),7 (37),10 (44)
Idaho,2 (50),2 (50),2 (50),2 (50)
Montana,1 (25),1 (25),2 (33),2 (33)
Nevada,2 (25),2 (25),2 (29),3 (33)
New Mexico,1 (20),1 (20),1 (20),1 (20)
Utah,0 (0),0 (0),0 (0),0 (0)
Wyoming,1 (50),1 (50),2 (100),1 (50)
Alaska,1 (17),1 (17),1 (17),1 (20)
California,67 (44),63 (42),64 (41),88 (54)
Hawaii,0 (0),0 (0),0 (0),0 (0)
Oregon,4 (33),4 (33),6 (50),7 (54)
Washington,15 (46),13 (42),13 (42),14 (44)
