Median cost of medication abortion services
State,2017,2018,2019,2020
Connecticut,619,619,650,650
Maine,525,525,500,500
Massachusetts,558,558,650,650
New Hampshire,--,--,555,555
Rhode Island,523,523,600,675
Vermont,--,--,555,555
New Jersey,400,400,490,490
New York,450,450,580,580
Pennsylvania,450,450,430,470
Illinois,475,475,470,470
Indiana,525,525,725,834
Michigan,450,450,500,550
Ohio,510,525,573,588
Wisconsin,--,625,600,600
Iowa,--,950,730,730
Kansas,669,669,744,763
Minnesota,--,645,652,668
Missouri,--,--,535,--
Nebraska,600,600,730,730
North Dakota,--,625,650,650
South Dakota,--,--,710,710
Delaware,--,--,490,490
District of Columbia,--,475,460,425
Florida,465,465,550,550
Georgia,450,475,475,500
Maryland,375,375,390,390
North Carolina,375,413,458,420
South Carolina,--,550,620,620
Virginia,395,415,440,433
West Virginia,--,541,725,495
Alabama,--,525,575,525
Kentucky,650,650,700,700
Mississippi,--,600,600,600
Tennessee,550,550,600,600
Arkansas,--,700,575,722
Louisiana,493,500,700,600
Oklahoma,--,590,600,638
Texas,581,581,600,685
Arizona,--,460,590,605
Colorado,465,465,520,458
Idaho,650,650,650,650
Montana,--,600,799,550
Nevada,500,500,500,570
New Mexico,--,450,490,540
Utah,--,--,450,450
Wyoming,678,675,675,750
Alaska,800,650,800,800
California,575,575,680,680
Hawaii,--,845,845,845
Oregon,520,520,550,625
Washington,650,650,650,650
