Median cost of first trimester procedural abortion services
State,2017,2018,2019,2020
Connecticut,657,638,705,760
Maine,500,500,525,525
Massachusetts,583,583,700,700
New Hampshire,--,--,558,556
Rhode Island,658,658,703,675
Vermont,--,--,555,555
New Jersey,380,380,400,410
New York,463,463,538,519
Pennsylvania,450,450,528,500
Illinois,455,455,475,480
Indiana,425,425,725,834
Michigan,495,495,500,500
Ohio,440,420,540,625
Wisconsin,--,650,685,738
Iowa,--,700,825,820
Kansas,669,669,760,760
Minnesota,--,720,658,700
Missouri,--,--,545,478
Nebraska,600,600,825,820
North Dakota,--,625,650,675
South Dakota,--,--,1043,843
Delaware,--,--,525,490
District of Columbia,--,419,395,510
Florida,400,400,550,550
Georgia,495,495,503,528
Maryland,388,375,406,433
North Carolina,395,390,380,400
South Carolina,--,550,620,620
Virginia,380,513,449,428
West Virginia,--,496,725,525
Alabama,--,500,500,500
Kentucky,750,750,800,800
Mississippi,--,600,600,650
Tennessee,638,638,675,663
Arkansas,--,600,650,625
Louisiana,600,594,600,963
Oklahoma,--,590,625,638
Texas,538,538,700,734
Arizona,--,480,620,620
Colorado,413,458,560,540
Idaho,650,575,575,575
Montana,--,700,917,800
Nevada,495,495,550,663
New Mexico,--,470,508,625
Utah,--,--,450,450
Wyoming,1099,950,--,1200
Alaska,835,650,800,800
California,500,500,700,700
Hawaii,--,845,845,845
Oregon,520,520,550,700
Washington,650,650,650,650
