Median cost of second trimester procedural abortion services
State,2017,2018,2019,2020
Connecticut,802,852,--,802
Maine,600,600,--,828
Massachusetts,2025,2025,--,1075
New Hampshire,--,--,--,668
Rhode Island,1875,1875,--,798
Vermont,--,--,--,828
New Jersey,480,480,--,510
New York,1059,1059,--,1188
Pennsylvania,540,540,--,713
Illinois,1390,1390,--,545
Indiana,--,--,--,--
Michigan,695,695,--,588
Ohio,740,675,--,820
Wisconsin,--,1400,--,1123
Iowa,--,--,--,1065
Kansas,750,750,--,1513
Minnesota,--,1575,--,1360
Missouri,--,--,--,3600
Nebraska,1625,1625,--,1065
North Dakota,--,850,--,975
South Dakota,--,--,--,--
Delaware,--,--,--,716
District of Columbia,--,--,--,888
Florida,1038,1350,--,838
Georgia,530,530,--,750
Maryland,498,460,--,670
North Carolina,970,970,--,1075
South Carolina,--,--,--,695
Virginia,973,1036,--,814
West Virginia,--,--,--,--
Alabama,--,650,--,--
Kentucky,--,--,--,1475
Mississippi,--,750,--,763
Tennessee,800,800,--,900
Arkansas,--,--,--,--
Louisiana,2200,1480,--,--
Oklahoma,--,700,--,1100
Texas,900,900,--,938
Arizona,--,1703,--,1510
Colorado,738,738,--,1500
Idaho,823,823,--,--
Montana,--,--,--,850
Nevada,1238,1238,--,--
New Mexico,--,1125,--,1125
Utah,--,--,--,1475
Wyoming,--,--,--,--
Alaska,--,750,--,900
California,1675,1675,--,1170
Hawaii,--,845,--,1027
Oregon,--,--,--,2650
Washington,763,763,--,--
