"","State","year","facility_density","facilities_only_procedural","facilities_only_medication","facilities_both","gestational_limit_medication","gestational_limit_procedural","cost_medication","cost_first_trimester","cost_second_trimester","accepts_insurance","independent_clinics","planned_parenthoods","policy_index","abortion_rate_residence","percentage_leaving","poverty"
"1","Alabama",2017,221821,"1 (20)","0 (0)","4 (80)","9 (9-10)","14 (14-22)","--","--","--","2 (40)","3 (60)","2 (40)",-5,6.65491544984469,29.2372307275437,16.1
"2","Alabama",2018,221608,"1 (20)","0 (0)","4 (80)","9 (9-10)","14 (14-22)","525","500","650","2 (40)","3 (60)","2 (40)",-5,7.15497635464424,31.1932391523713,15.6
"3","Alabama",2019,368957,"1 (33)","0 (0)","2 (67)","9 (9-9)","21 (14-22)","575","500","--","1 (33)","3 (100)","0 (0)",-5,7.12910537903694,37.0295273095932,14.4
"4","Alaska",2017,27404,"0 (0)","1 (17)","5 (83)","10 (10-10)","14 (12-14)","800","835","--","6 (100)","2 (33)","4 (67)",2,8.4841628959276,11.326164874552,11.8
"5","Alaska",2018,27138,"0 (0)","1 (17)","5 (83)","10 (9-10)","14 (12-14)","650","650","750","6 (100)","2 (33)","4 (67)",2,8.43221067629646,8.15731973780044,12.6
"6","Alaska",2019,26917,"0 (0)","1 (17)","5 (83)","10 (9-10)","14 (14-14)","800","800","--","5 (83)","2 (33)","4 (67)",2,8.38379710467982,7.97636632200886,11.7
"7","Arizona",2017,195832,"0 (0)","1 (13)","7 (88)","10 (9-10)","17 (16-24)","--","--","--","3 (38)","4 (50)","4 (50)",-6,8.0049481187957,1.63463838609361,15.2
"8","Arizona",2018,198634,"0 (0)","1 (13)","7 (88)","10 (9-10)","17 (16-24)","460","480","1703","3 (38)","4 (50)","4 (50)",-6,7.92160455913892,1.79536066094693,13.2
"9","Arizona",2019,201690,"0 (0)","1 (13)","7 (88)","10 (10-10)","17 (16-24)","590","620","--","5 (63)","4 (50)","4 (50)",-6,8.20008428776836,1.72322575769027,11.4
"10","Arkansas",2017,223031,"0 (0)","2 (67)","1 (33)","9 (8-9)","21 (21-21)","--","--","--","2 (67)","1 (33)","2 (67)",-6,5.46859704106903,21.3719595517901,15.3
"11","Arkansas",2018,223282,"0 (0)","2 (67)","1 (33)","9 (8-9)","21 (21-21)","700","600","--","2 (67)","1 (33)","2 (67)",-6,5.30121848902584,22.6133483525767,15.4
"12","Arkansas",2019,223439,"0 (0)","2 (67)","1 (33)","9 (8-10)","21 (21-21)","575","650","--","1 (33)","1 (33)","2 (67)",-6,5.0080782674466,21.8051831992851,15
"13","California",2017,61856,"5 (3)","67 (44)","79 (52)","9 (6-10)","18 (6-24)","575","500","1675","142 (94)","60 (40)","91 (60)",6,0.0399346656023133,NA,12.8
"14","California",2018,62619,"5 (3)","63 (42)","81 (54)","10 (6-10)","18 (6-24)","575","500","1675","139 (93)","60 (40)","89 (59)",6,0.0371909334291938,NA,12
