"","State","year","policy_index","abortion_rate_residence","percentage_leaving","facility_density","facilities_only_procedural","facilities_only_medication","facilities_both","gestational_limit_medication","gestational_limit_procedural","cost_medication","cost_first_trimester","cost_second_trimester","accepts_insurance","independent_clinics","planned_parenthoods","poverty","policy_catog"
"1","Alabama",2017,-5,6.65491544984469,29.2372307275437,221821,20,0,80,9,14,NA,NA,NA,40,60,40,16.1,"hostile"
"2","Alabama",2018,-5,7.15497635464424,31.1932391523713,221608,20,0,80,9,14,525,500,650,40,60,40,15.6,"hostile"
"3","Alabama",2019,-5,7.12910537903694,37.0295273095932,368957,33,0,67,9,21,575,500,NA,33,100,0,14.4,"hostile"
"4","Alaska",2017,2,8.4841628959276,11.326164874552,27404,0,17,83,10,14,800,835,NA,100,33,67,11.8,"supportive"
"5","Alaska",2018,2,8.43221067629646,8.15731973780044,27138,0,17,83,10,14,650,650,750,100,33,67,12.6,"supportive"
"6","Alaska",2019,2,8.38379710467982,7.97636632200886,26917,0,17,83,10,14,800,800,NA,83,33,67,11.7,"supportive"
"7","Arizona",2017,-6,8.0049481187957,1.63463838609361,195832,0,13,88,10,17,NA,NA,NA,38,50,50,15.2,"hostile"
"8","Arizona",2018,-6,7.92160455913892,1.79536066094693,198634,0,13,88,10,17,460,480,1703,38,50,50,13.2,"hostile"
"9","Arizona",2019,-6,8.20008428776836,1.72322575769027,201690,0,13,88,10,17,590,620,NA,63,50,50,11.4,"hostile"
"10","Arkansas",2017,-6,5.46859704106903,21.3719595517901,223031,0,67,33,9,21,NA,NA,NA,67,33,67,15.3,"hostile"
"11","Arkansas",2018,-6,5.30121848902584,22.6133483525767,223282,0,67,33,9,21,700,600,NA,67,33,67,15.4,"hostile"
"12","Arkansas",2019,-6,5.0080782674466,21.8051831992851,223439,0,67,33,9,21,575,650,NA,33,33,67,15,"hostile"
"13","Colorado",2017,0,6.01980089405699,0.82257656289547,62508,10,38,52,10,14,465,413,738,81,48,52,8.8,"neutral"
"14","Colorado",2018,0,5.96483892312177,0.741206030150754,63547,10,38,52,10,18,465,458,738,81,48,52,9,"neutral"
"15","Colorado",2019,0,5.9616709551328,0.682720953326713,71121,5,37,58,10,19,520,560,NA,79,47,53,9.2,"neutral"
"16","Connecticut",2017,3,11.9520558718973,1.92672141503474,41825,0,68,32,10,17,619,657,802,95,11,89,9.7,"supportive"
"17","Connecticut",2018,3,11.4543758673249,2.11850380668653,43957,0,67,33,10,17,619,638,852,94,11,89,10.4,"supportive"
"18","Connecticut",2019,3,11.5699410439144,2.5390195647395,43686,0,67,33,10,17,650,705,NA,100,11,89,9.3,"supportive"
"19","Delaware",2017,-1,11.6256251944385,31.3709345409634,69645,0,33,67,10,16,NA,NA,NA,100,33,67,10.7,"neutral"
"20","Delaware",2018,-1,11.9682443859926,39.7918334667734,69573,0,33,67,10,16,NA,NA,NA,100,33,67,8.1,"neutral"
"21","Delaware",2019,-1,13.039232580849,35.2055800293686,104454,0,0,100,10,16,490,525,NA,100,0,100,6.9,"neutral"
"22","Florida",2017,-2,14.8093504438917,0.478619654913728,69239,2,8,91,9,22,465,400,1038,57,78,22,13.6,"hostile"
"23","Florida",2018,-2,15.0170412162161,0.762058586006901,71987,2,7,92,9,20,465,400,1350,56,79,27,13.5,"hostile"
"24","Florida",2019,-2,15.3877266681406,0.707015993385979,79984,0,12,88,9,20,550,550,NA,63,74,26,12.6,"hostile"
"25","Georgia",2017,-3,11.4843330592496,5.2871562826314,147157,0,24,77,9,14,450,495,530,65,82,18,14.7,"hostile"
"26","Georgia",2018,-3,11.8244034411832,4.80026854649211,148198,0,24,77,10,14,475,495,530,59,76,24,14,"hostile"
"27","Georgia",2019,-3,12.5842098297843,4.82942097026604,158681,0,25,75,10,14,475,503,NA,63,75,25,13.5,"hostile"
"28","Hawaii",2017,4,7.49391824394065,1.72719220549159,100437,0,0,100,10,14,NA,NA,NA,100,33,67,9.7,"supportive"
"29","Hawaii",2018,4,7.06426982504659,1.27659574468085,99798,0,0,100,10,14,845,845,845,100,33,67,9.9,"supportive"
"30","Hawaii",2019,4,6.63033605812897,0.963977676306443,99090,0,0,100,10,14,845,845,NA,100,33,67,8.8,"supportive"
"31","Idaho",2017,-3,4.60059654928909,29.2668957617411,94879,0,50,50,10,14,650,650,823,75,25,75,11.2,"hostile"
"32","Idaho",2018,-3,4.57049254872781,31.656302996043,96762,0,50,50,10,14,650,575,823,75,25,75,11.5,"hostile"
"33","Idaho",2019,-3,4.81665316045381,24.8685594111462,98720,0,50,50,10,14,650,575,NA,75,25,75,9.3,"hostile"
"34","Illinois",2017,3,11.3829775664293,1.9735467112531,122599,0,38,63,10,20,475,455,1390,88,54,46,11.3,"supportive"
"35","Illinois",2018,3,12.7808307077222,1.53941051841124,121559,0,33,67,10,20,475,455,1390,88,54,46,10.9,"supportive"
"36","Illinois",2019,3,13.5051167886413,0.88233037518222,99837,0,41,59,10,20,470,475,NA,86,48,52,9.8,"supportive"
"37","Indiana",2017,-6,6.6882029193587,28.7020473066985,214920,0,17,83,9,14,525,425,NA,71,43,57,12,"hostile"
"38","Indiana",2018,-6,6.37389409662143,24.6029274369355,215903,0,17,83,9,14,525,425,NA,71,43,57,11.6,"hostile"
"39","Indiana",2019,-6,6.51534271941588,29.0077880044503,216785,0,29,71,10,14,725,725,NA,71,43,57,10.8,"hostile"
"40","Iowa",2017,-2,4.73083484286242,12.1747211895911,113722,0,50,50,9,20,NA,NA,NA,100,17,83,9.3,"hostile"
"41","Iowa",2018,-2,4.38588778692176,14.9014366855997,113736,0,50,50,9,20,950,700,NA,100,17,83,8.2,"hostile"
"42","Iowa",2019,-2,5.14356241168434,12.3396979196352,113702,0,50,50,10,20,730,825,NA,83,17,83,9.2,"hostile"
"43","Kansas",2017,-3,5.41945689757586,2.76896452264205,159933,0,25,75,10,21,669,669,750,100,50,50,12.5,"hostile"
"44","Kansas",2018,-3,5.56897100391232,2.6890756302521,160263,0,25,75,10,22,669,669,750,100,50,50,10.9,"hostile"
"45","Kansas",2019,-3,5.65542346212443,2.8153463980127,160156,0,25,75,10,22,744,760,NA,50,50,50,8.5,"hostile"
"46","Kentucky",2017,-5,4.75738352986759,40.8907741251326,991091,0,0,100,9,22,650,750,NA,0,100,0,15.1,"hostile"
"47","Kentucky",2018,-5,4.72816347005732,41.9465240641711,988756,0,0,100,9,22,650,750,NA,0,100,0,14.6,"hostile"
"48","Kentucky",2019,-5,4.76523537282569,35.7370772176133,986520,0,0,100,9,22,700,800,NA,0,100,0,14.6,"hostile"
"49","Louisiana",2017,-6,7.63850027979854,8.74236874236874,357400,0,0,100,9,17,493,600,2200,0,100,0,20.1,"hostile"
"50","Louisiana",2018,-6,7.26299263465879,12.5016160310278,354996,0,0,100,9,17,500,594,1480,0,100,0,19.8,"hostile"
"51","Louisiana",2019,-6,7.32192455534316,12.4596513879923,352594,0,0,100,9,16,700,600,NA,0,100,0,18.4,"hostile"
"52","Maine",2017,4,6.83583823422638,1.00902814657461,13773,0,85,15,10,14,525,500,600,15,95,5,13.1,"supportive"
"53","Maine",2018,4,6.83387858960378,1.22340425531915,13755,0,85,15,10,14,525,500,600,15,95,5,12,"supportive"
"54","Maine",2019,4,6.9535364115097,0.993723849372385,15276,0,83,17,10,14,500,525,NA,6,94,6,11,"supportive"
"55","Massachusetts",2017,3,11.209269576968,3.21513263111454,85141,21,0,79,9,20,558,583,2025,100,84,16,10.4,"supportive"
"56","Massachusetts",2018,3,11.2244279942005,3.07234886025768,85162,16,0,84,9,21,558,583,2025,100,84,16,10,"supportive"
"57","Massachusetts",2019,3,11.3594682475167,2.43263881313407,100874,13,0,88,10,20,650,700,NA,94,81,19,8.1,"supportive"
"58","Michigan",2017,-3,11.8190774091914,1.06399323960974,95770,0,22,78,10,24,450,495,695,83,65,35,11.2,"hostile"
