"","X","State","year","policy_index","abortion_rate_residence","percentage_leaving","facility_density","facilities_only_procedural","facilities_only_medication","facilities_both","gestational_limit_medication","gestational_limit_procedural","cost_medication","cost_first_trimester","cost_second_trimester","accepts_insurance","independent_clinics","planned_parenthoods","poverty"
"1",1,"Alabama",2017,-5,6.65491544984469,29.2372307275437,0.450813944576934,20,0,80,9,14,NA,NA,NA,40,60,40,16.1
"2",2,"Alabama",2018,-5,7.15497635464424,31.1932391523713,0.451247247391791,20,0,80,9,14,525,500,650,40,60,40,15.6
"3",3,"Alabama",2019,-5,7.12910537903694,37.0295273095932,0.271034293969216,33,0,67,9,21,575,500,NA,33,100,0,14.4
"4",4,"Alaska",2017,2,8.4841628959276,11.326164874552,3.64910232082908,0,17,83,10,14,800,835,NA,100,33,67,11.8
"5",5,"Alaska",2018,2,8.43221067629646,8.15731973780044,3.68486992409168,0,17,83,10,14,650,650,750,100,33,67,12.6
"6",6,"Alaska",2019,2,8.38379710467982,7.97636632200886,3.71512427090686,0,17,83,10,14,800,800,NA,83,33,67,11.7
"7",7,"Arizona",2017,-6,8.0049481187957,1.63463838609361,0.510641774582295,0,13,88,10,17,NA,NA,NA,38,50,50,15.2
"8",8,"Arizona",2018,-6,7.92160455913892,1.79536066094693,0.503438484851536,0,13,88,10,17,460,480,1703,38,50,50,13.2
"9",9,"Arizona",2019,-6,8.20008428776836,1.72322575769027,0.495810402102236,0,13,88,10,17,590,620,NA,63,50,50,11.4
"10",10,"Arkansas",2017,-6,5.46859704106903,21.3719595517901,0.448368164066879,0,67,33,9,21,NA,NA,NA,67,33,67,15.3
"11",11,"Arkansas",2018,-6,5.30121848902584,22.6133483525767,0.447864135935723,0,67,33,9,21,700,600,NA,67,33,67,15.4
"12",12,"Arkansas",2019,-6,5.0080782674466,21.8051831992851,0.447549443024718,0,67,33,9,21,575,650,NA,33,33,67,15
"13",13,"California",2017,6,0.0399346656023133,NA,1.61665804449043,3,44,52,9,18,575,500,1675,94,40,60,12.8
"14",14,"California",2018,6,0.0371909334291938,NA,1.59695938932273,3,42,54,10,18,575,500,1675,93,40,59,12
"15",15,"California",2019,6,0.036970316919444,NA,1.68730806870718,3,41,58,10,20,680,700,NA,92,42,58,11
"16",16,"Colorado",2017,0,6.01980089405699,0.82257656289547,1.59979522621104,10,38,52,10,14,465,413,738,81,48,52,8.8
"17",17,"Colorado",2018,0,5.96483892312177,0.741206030150754,1.5736384093663,10,38,52,10,18,465,458,738,81,48,52,9
"18",18,"Colorado",2019,0,5.9616709551328,0.682720953326713,1.40605447055019,5,37,58,10,19,520,560,NA,79,47,53,9.2
"19",19,"Connecticut",2017,3,11.9520558718973,1.92672141503474,2.39091452480574,0,68,32,10,17,619,657,802,95,11,89,9.7
"20",20,"Connecticut",2018,3,11.4543758673249,2.11850380668653,2.27495051982619,0,67,33,10,17,619,638,852,94,11,89,10.4
"21",21,"Connecticut",2019,3,11.5699410439144,2.5390195647395,2.28906285766607,0,67,33,10,17,650,705,NA,100,11,89,9.3
"22",22,"Delaware",2017,-1,11.6256251944385,31.3709345409634,1.43585325579726,0,33,67,10,16,NA,NA,NA,100,33,67,10.7
"23",23,"Delaware",2018,-1,11.9682443859926,39.7918334667734,1.43733919767726,0,33,67,10,16,NA,NA,NA,100,33,67,8.1
"24",24,"Delaware",2019,-1,13.039232580849,35.2055800293686,0.957359220326651,0,0,100,10,16,490,525,NA,100,0,100,6.9
"25",25,"District of Columbia",2017,NA,7.0549399185931,10.0069013112491,1.94753344888698,25,0,75,9,25,NA,NA,NA,75,67,33,15
"26",26,"District of Columbia",2018,NA,8.62152194481454,7.50279955207167,1.9309119697233,25,0,75,9,25,475,419,NA,75,67,33,14.3
"27",27,"District of Columbia",2019,NA,7.26324968139439,6.13456464379947,2.87463707706902,0,0,100,10,27,460,395,NA,50,83,17,13.6
"28",28,"Florida",2017,-2,14.8093504438917,0.478619654913728,1.44427273646355,2,8,91,9,22,465,400,1038,57,78,22,13.6
"29",29,"Florida",2018,-2,15.0170412162161,0.762058586006901,1.38913970578021,2,7,92,9,20,465,400,1350,56,79,27,13.5
"30",30,"Florida",2019,-2,15.3877266681406,0.707015993385979,1.25025005001,0,12,88,9,20,550,550,NA,63,74,26,12.6
"31",31,"Georgia",2017,-3,11.4843330592496,5.2871562826314,0.679546334866843,0,24,77,9,14,450,495,530,65,82,18,14.7
"32",32,"Georgia",2018,-3,11.8244034411832,4.80026854649211,0.674772938906058,0,24,77,10,14,475,495,530,59,76,24,14
"33",33,"Georgia",2019,-3,12.5842098297843,4.82942097026604,0.630195171444596,0,25,75,10,14,475,503,NA,63,75,25,13.5
"34",34,"Hawaii",2017,4,7.49391824394065,1.72719220549159,0.995649013809652,0,0,100,10,14,NA,NA,NA,100,33,67,9.7
"35",35,"Hawaii",2018,4,7.06426982504659,1.27659574468085,1.00202408865909,0,0,100,10,14,845,845,845,100,33,67,9.9
"36",36,"Hawaii",2019,4,6.63033605812897,0.963977676306443,1.00918357049147,0,0,100,10,14,845,845,NA,100,33,67,8.8
