"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2017 found at: https://www.cdc.gov/mmwr/volumes/68/ss/ss681a1.htm",,State of Maternal Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire**",New Jersey,New Mexico,"New York 
(City and State)",North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown residence,Total by location of service
State of Clinical Service,Alabama,"5,223",0,-- ,-- ,-- ,0,0,0,0,-- ,-- ,-- ,0,-- ,-- ,0,0,-- ,-- ,0,0,-- ,-- ,0,672,-- ,0,0,-- ,-- ,-- ,0,-- ,-- ,0,-- ,0,0,0,0,-- ,0,95,-- ,0,0,-- ,0,0,0,-- ,0,0,0,-- ,0,0,"6,063"
,Alaska,0,"1,237",0,0,0,0,0,0,0,-- ,0,-- ,0,0,0,0,0,0,0,0,0,0,-- ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-- ,-- ,0,0,0,0,0,0,0,0,0,0,-- ,-- ,"1,255"
,Arizona,0,0,"12,336",0,-- ,-- ,0,0,0,-- ,0,-- ,-- ,-- ,0,0,-- ,0,-- ,0,0,-- ,-- ,-- ,0,0,0,0,-- ,-- ,-- ,-- ,0,-- ,0,-- ,-- ,-- ,0,0,0,0,-- ,-- ,-- ,0,-- ,-- ,0,0,0,0,0,0,67,0,72,"12,533"
,Arkansas,0,0,-- ,"2,877",-- ,0,0,0,0,-- ,-- ,0,0,-- ,0,0,0,-- ,-- ,0,0,0,0,0,64,71,0,-- ,0,0,0,0,0,0,0,0,-- ,0,0,0,0,0,172,-- ,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,249"
,California**,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
,Colorado,-- ,-- ,0,-- ,-- ,"7,837",-- ,0,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,73,-- ,0,-- ,120,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,112,-- ,-- ,-- ,0,-- ,-- ,0,-- ,330,-- ,0,0,0,0,58,"8,873"
,Connecticut,0,0,-- ,-- ,-- ,-- ,"9,315",0,-- ,-- ,-- ,0,0,-- ,0,0,0,0,0,0,-- ,71,-- ,-- ,0,-- ,0,-- ,0,-- ,-- ,0,89,-- ,0,-- ,0,0,-- ,63,0,0,0,0,0,-- ,-- ,0,0,0,0,0,0,0,0,0,-- ,"9,584"
,Delaware,0,0,0,0,0,0,0,"1,667",-- ,0,0,0,0,-- ,0,0,0,0,0,0,102,-- ,0,0,0,0,0,0,0,0,-- ,0,-- ,0,0,0,0,0,87,0,0,0,0,0,0,0,-- ,-- ,0,0,0,0,0,0,0,0,0,"1,890"
,District of Columbia,-- ,0,-- ,0,-- ,-- ,-- ,-- ,"1,304",-- ,-- ,0,0,-- ,-- ,0,0,-- ,-- ,0,"1,263",-- ,0,-- ,0,0,0,0,-- ,0,-- ,0,-- ,-- ,0,-- ,0,0,-- ,0,-- ,0,-- ,-- ,-- ,0,951,-- ,-- ,-- ,0,-- ,0,0,0,0,0,"3,624"
,Florida,581,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,"66,331","1,183",-- ,-- ,-- ,-- ,-- ,0,-- ,97,-- ,-- ,-- ,-- ,-- ,201,-- ,-- ,-- ,-- ,0,-- ,-- ,65,-- ,0,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,0,-- ,-- ,0,-- ,-- ,0,0,0,242,0,0,"69,102"
,Georgia,"1,490",0,-- ,-- ,-- ,-- ,-- ,-- ,-- ,113,"27,211",0,0,-- ,-- ,-- ,0,-- ,-- ,-- ,-- ,0,-- ,0,88,-- ,0,-- ,-- ,-- ,-- ,0,-- ,108,0,-- ,-- ,0,-- ,0,"2,093",0,693,-- ,0,0,-- ,0,-- ,-- ,0,0,0,0,0,-- ,0,"31,991"
,Hawaii,0,-- ,-- ,0,-- ,0,0,0,0,-- ,0,"2,219",0,-- ,0,0,0,0,0,0,0,0,0,-- ,0,0,0,0,0,0,-- ,0,-- ,-- ,0,-- ,0,-- ,0,0,0,0,0,0,0,0,0,-- ,0,0,0,0,0,0,0,0,-- ,"2,249"
,Idaho,0,0,0,0,-- ,-- ,0,0,0,-- ,0,0,"1,235",0,0,0,-- ,0,0,0,0,0,0,0,0,0,0,0,-- ,0,0,0,-- ,0,0,0,0,-- ,0,0,0,0,0,-- ,-- ,0,0,-- ,0,0,0,0,0,0,0,0,0,"1,285"
,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,832","2,134",117,0,75,0,0,0,0,73,0,0,"1,767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,826,969,"39,329"
,Indiana,0,-- ,0,0,0,0,0,0,0,0,-- ,0,0,89,"7,174",0,0,446,0,0,0,0,-- ,0,0,-- ,0,0,0,-- ,-- ,-- ,0,0,0,-- ,0,0,0,0,0,0,-- ,-- ,-- ,0,0,0,0,-- ,-- ,0,0,0,0,0,0,"7,778"
,Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,"3,269"
,Kansas,-- ,0,-- ,-- ,-- ,-- ,0,0,0,-- ,-- ,-- ,-- ,-- ,0,-- ,"3,371",0,0,0,-- ,0,-- ,-- ,-- ,"3,170",0,-- ,-- ,0,-- ,0,-- ,-- ,0,0,103,0,-- ,0,-- ,0,0,-- ,0,0,-- ,0,0,-- ,0,0,0,0,0,0,0,"6,747"
,Kentucky,0,0,-- ,-- ,0,0,0,0,0,-- ,-- ,0,0,-- ,266,0,0,"2,787",0,0,-- ,0,0,-- ,0,0,0,0,-- ,0,-- ,0,-- ,-- ,0,-- ,0,0,0,0,-- ,0,83,-- ,0,0,-- ,0,-- ,0,0,0,0,0,0,0,0,"3,201"
