"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2018  found at: https://www.cdc.gov/mmwr/volumes/68/ss/ss681a1.htm",,State of Maternal Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire**",New Jersey,New Mexico,"New York 
(City and State)",North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown residence,Total by location of service
State of Clinical Service,Alabama,"5,455",0,0,0,-- ,-- ,0,0,0,114,-- ,0,0,-- ,-- ,0,0,-- ,-- ,0,-- ,0,0,0,665,-- ,-- ,-- ,0,0,-- ,-- ,-- ,-- ,0,-- ,0,0,-- ,0,-- ,-- ,180,-- ,0,0,-- ,0,0,0,0,0,0,0,0,0,0,"6,484"
,Alaska,0,"1,261",0,0,-- ,0,0,0,0,-- ,-- ,0,0,-- ,0,0,0,0,0,0,0,0,-- ,0,0,0,0,0,0,0,0,0,0,0,0,-- ,0,-- ,-- ,0,-- ,0,0,-- ,0,0,0,-- ,0,0,0,0,0,0,-- ,0,-- ,"1,283"
,Arizona,0,0,"12,362",0,-- ,0,0,0,0,-- ,-- ,0,0,-- ,0,0,0,0,0,0,0,-- ,0,0,0,-- ,0,0,0,0,0,-- ,0,-- ,0,-- ,0,0,0,0,0,0,0,-- ,-- ,0,0,-- ,0,-- ,0,0,0,0,-- ,0,-- ,"12,438"
,Arkansas,0,0,0,"2,748",-- ,0,0,0,0,-- ,0,0,0,-- ,0,0,-- ,0,-- ,0,0,0,0,0,51,66,0,0,0,0,0,-- ,0,0,0,0,-- ,-- ,0,0,0,0,110,-- ,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,069"
,California**,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
,Colorado,-- ,-- ,0,-- ,-- ,"7,901",-- ,0,-- ,-- ,-- ,0,-- ,-- ,-- ,-- ,-- ,0,-- ,0,-- ,-- ,-- ,-- ,-- ,-- ,-- ,77,-- ,0,-- ,130,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,130,-- ,-- ,-- ,-- ,-- ,-- ,0,-- ,336,0,0,0,0,-- ,-- ,"8,975"
,Connecticut,0,0,-- ,0,-- ,-- ,"8,871",-- ,0,-- ,-- ,-- ,0,-- ,0,0,0,0,-- ,-- ,-- ,107,0,-- ,0,0,0,0,0,-- ,-- ,0,84,-- ,0,0,0,-- ,-- ,187,-- ,0,0,-- ,0,-- ,-- ,0,0,-- ,0,-- ,0,0,0,0,0,"9,294"
,Delaware,0,0,0,0,-- ,0,0,"1,504",-- ,0,-- ,-- ,0,0,0,0,0,0,0,0,107,-- ,0,0,0,0,0,0,0,0,-- ,0,-- ,0,0,-- ,-- ,0,93,0,0,0,0,-- ,0,0,-- ,0,0,0,0,0,0,0,0,0,0,"1,740"
,District of Columbia,-- ,0,-- ,0,-- ,0,-- ,-- ,"1,652",-- ,-- ,-- ,0,0,-- ,0,0,-- ,-- ,0,"1,829",-- ,-- ,0,0,-- ,0,0,0,0,-- ,0,-- ,-- ,0,-- ,0,0,-- ,0,-- ,0,-- ,-- ,0,0,"1,186",0,-- ,0,0,-- ,0,0,0,0,0,"4,771"
,Florida,524,0,-- ,-- ,-- ,-- ,-- ,0,-- ,"67,586","1,158",-- ,-- ,-- ,-- ,-- ,-- ,-- ,108,-- ,-- ,-- ,-- ,-- ,152,-- ,0,-- ,-- ,-- ,-- ,0,57,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,-- ,51,-- ,-- ,-- ,-- ,-- ,-- ,0,0,0,0,238,0,0,"70,239"
,Georgia,"1,779",-- ,-- ,-- ,-- ,-- ,0,-- ,-- ,172,"28,360",-- ,0,-- ,-- ,-- ,0,-- ,56,-- ,-- ,-- ,-- ,-- ,115,-- ,0,0,-- ,0,-- ,-- ,-- ,132,0,-- ,-- ,-- ,-- ,0,"2,254",0,864,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,0,0,0,0,-- ,0,"33,918"
,Hawaii,-- ,-- ,-- ,0,-- ,-- ,-- ,0,0,0,0,"2,088",0,0,0,0,0,0,0,0,0,0,0,0,-- ,-- ,0,0,0,0,0,0,0,-- ,0,-- ,0,0,0,0,0,0,0,0,-- ,0,0,-- ,0,0,0,0,0,0,-- ,0,-- ,"2,121"
,Idaho,0,0,0,0,0,0,0,0,0,0,0,0,"1,209",0,0,0,0,0,0,0,0,0,0,0,0,0,-- ,0,-- ,0,0,0,0,0,0,0,0,-- ,0,0,0,0,0,0,-- ,0,0,-- ,0,0,-- ,0,0,0,0,0,0,"1,257"
,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,713","1,528",129,0,84,0,0,0,0,0,0,0,"3,146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,265,60,"42,441"
,Indiana,-- ,0,0,0,-- ,0,0,0,0,-- ,-- ,0,0,97,"7,263",0,0,535,-- ,0,0,0,-- ,0,-- ,-- ,0,0,-- ,0,0,0,-- ,-- ,0,68,0,0,0,0,0,0,-- ,-- ,0,0,-- ,-- ,-- ,-- ,0,0,0,0,0,0,0,"8,037"
,Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,"2,849"
,Kansas,0,-- ,0,59,-- ,-- ,0,0,0,-- ,0,0,0,-- ,-- ,-- ,"3,474",-- ,-- ,0,0,0,0,0,-- ,"3,279",0,-- ,-- ,0,0,0,-- ,-- ,0,0,82,-- ,0,0,0,0,-- ,-- ,0,0,0,-- ,0,-- ,0,0,0,0,0,0,0,"6,972"
,Kentucky,-- ,0,-- ,-- ,-- ,0,0,0,0,-- ,-- ,0,0,-- ,269,0,-- ,"2,714",-- ,0,0,0,0,0,0,-- ,0,0,0,0,0,0,0,0,0,-- ,-- ,0,-- ,0,-- ,0,136,-- ,0,0,-- ,0,-- ,0,0,0,0,0,-- ,0,0,"3,203"
,Louisiana,-- ,0,0,166,-- ,-- ,0,0,0,-- ,-- ,0,0,-- ,0,0,0,0,"6,768",0,0,0,0,-- ,267,-- ,0,0,-- ,-- ,0,0,-- ,-- ,0,-- ,-- ,0,0,0,0,0,-- ,831,-- ,0,0,0,0,0,0,0,0,0,0,0,-- ,"8,097"
,Maine,0,0,0,0,0,0,-- ,0,0,-- ,0,0,0,0,0,0,0,0,0,"1,857",0,-- ,0,0,0,0,0,0,0,64,0,0,-- ,0,0,-- ,0,0,0,-- ,0,0,0,-- ,0,-- ,0,0,-- ,0,0,0,0,0,0,0,-- ,"1,949"
,Maryland**,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,77,"18,256"
,Michigan,-- ,0,-- ,0,-- ,-- ,0,0,0,-- ,-- ,0,0,-- ,283,0,0,-- ,-- ,-- ,0,0,"25,554",0,-- ,-- ,-- ,0,-- ,0,0,0,-- ,-- ,0,746,0,-- ,-- ,0,-- ,0,-- ,-- ,-- ,0,0,-- ,-- ,-- ,0,-- ,0,0,-- ,0,-- ,"26,716"
,Minnesota,-- ,0,0,0,-- ,-- ,0,0,0,-- ,-- ,-- ,0,-- ,-- ,58,0,0,0,0,0,0,-- ,"8,896",-- ,-- ,-- ,-- ,-- ,0,0,-- ,-- ,-- ,73,0,0,-- ,0,0,-- ,111,-- ,-- ,-- ,0,0,-- ,0,705,0,0,-- ,0,0,0,0,"9,910"
,Mississippi,84,0,0,-- ,-- ,0,0,0,0,-- ,0,0,0,-- ,0,0,0,0,191,0,0,-- ,0,0,"2,688",0,0,0,-- ,0,0,0,0,0,-- ,0,-- ,0,0,0,-- ,0,-- ,-- ,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,005"
