Table with row headings in column A and column headings in rows 5 to 10.,,,,,,,,
Percentage of People in Poverty by State Using 2- and 3-Year Averages:  2017-2018 and 2019-2020,,,,,,,,
"(Populations in thousands. Margins of error in percentage points. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar21.pdf>) ",,,,,,,,
State,,,2-year average,,,,Change in percentage points (2019-2020 average less 2017-2018 average),
,3-year average,,,,,,,
,2018-2020,,2017-20181,,2019-2020,,,
,Percentage,Margin of error2 (+/-),Percentage,Margin of error2 (+/-),Percentage,Margin of error2 (+/-),Percentage,Margin of error2 (+/-)
,,,,,,,,
,,,,,,,,
     United States,11.2,0.2,12.0,0.2,11.0,0.2,*-1.1,0.3
,,,,,,,,
Alabama,14.6,2.0,15.6,1.6,13.9,2.4,-1.8,2.0
Alaska,12.2,1.1,12.6,1.6,11.8,1.4,-0.8,2.3
Arizona,11.2,1.5,13.2,1.8,10.4,1.6,*-2.8,1.7
Arkansas,14.7,1.4,15.4,1.4,14.1,1.4,-1.3,1.8
California,11.0,0.5,12.0,0.6,10.6,0.6,*-1.5,0.8
Colorado,9.3,1.5,9.0,1.1,9.4,2.1,0.4,2.2
Connecticut,9.9,1.4,10.4,1.4,9.8,1.5,-0.7,1.8
Delaware,8.1,1.0,8.1,1.2,8.5,1.4,*0.4,1.8
District of Columbia,14.6,1.1,14.3,1.2,14.6,1.4,0.3,1.8
Florida,12.8,0.9,13.5,1.2,12.4,1.0,-1.2,1.3
,,,,,,,,
Georgia,13.4,1.4,14.0,1.3,12.7,1.7,-1.3,2.0
Hawaii,9.5,1.3,9.9,1.4,9.7,1.6,-0.3,2.0
Idaho,9.2,0.9,11.5,1.5,8.1,1.1,-3.3,1.9
Illinois,9.2,0.8,10.9,1.2,8.6,0.9,*-2.3,1.6
Indiana,11.2,1.0,11.6,1.3,11.1,1.1,-0.5,1.5
Iowa,9.1,1.5,8.2,1.3,9.3,1.9,1.0,1.4
Kansas,8.7,1.1,10.9,1.6,9.3,1.4,*-1.7,2.1
Kentucky,14.4,1.9,14.6,1.9,13.8,1.9,-0.8,2.1
Louisiana,17.4,1.1,19.8,1.3,16.7,1.4,-3.1,2.0
Maine,10.0,1.5,12.0,1.9,9.2,1.6,-2.8,2.0
,,,,,,,,
Maryland,8.1,1.0,7.8,1.1,8.1,1.4,0.3,1.7
Massachusetts,8.2,0.9,10.0,1.2,8.0,1.0,*-2.0,1.6
Michigan,10.6,1.0,11.0,1.0,10.6,1.2,-0.3,1.5
Minnesota,7.3,0.9,8.2,1.3,7.0,1.0,*-1.2,1.5
Mississippi,18.8,2.1,19.0,1.2,18.4,3.0,-0.6,3.0
Missouri,10.8,1.6,11.9,1.8,10.0,1.8,-1.9,2.1
Montana,10.3,1.1,10.3,1.5,10.3,1.0,Z,1.4
Nebraska,9.2,1.1,11.0,1.8,8.5,1.2,-2.5,2.2
Nevada,12.1,1.2,13.1,1.5,11.7,1.5,-1.4,2.1
New Hampshire,5.3,0.8,6.6,1.0,4.9,1.0,*-1.7,1.3
,,,,,,,,
New Jersey,7.6,0.8,9.1,1.1,7.2,1.0,*-1.8,1.5
New Mexico,16.2,1.3,18.2,1.9,15.9,1.4,*-2.3,2.1
New York,11.8,0.7,11.9,0.8,12.1,0.9,0.2,1.2
North Carolina,13.2,1.0,14.1,1.3,13.2,1.2,*-1.0,1.8
North Dakota,9.5,1.1,11.1,1.6,9.4,1.2,*-1.6,1.8
Ohio,12.3,1.2,12.4,1.2,12.5,1.4,0.1,1.6
Oklahoma,13.2,1.5,13.1,1.6,13.2,1.8,Z,1.9
Oregon,9.1,1.3,10.6,1.6,8.8,1.4,-1.8,1.8
Pennsylvania,10.4,1.0,11.4,1.1,9.7,1.1,-1.7,1.4
Rhode Island,8.8,1.3,10.1,1.9,8.8,1.5,-1.3,2.4
,,,,,,,,
South Carolina,13.7,1.2,14.0,1.3,14.2,1.6,0.2,2.1
South Dakota,10.9,2.4,10.7,1.8,11.1,3.3,0.4,2.9
Tennessee,12.8,1.4,11.7,1.2,13.1,1.6,1.5,1.7
Texas,12.9,0.7,13.4,0.8,12.5,0.8,*-0.9,1.1
Utah,7.2,1.8,7.8,1.4,7.4,1.9,-0.4,1.5
Vermont,9.0,1.2,9.2,1.2,8.6,1.4,-0.6,1.8
Virginia,8.8,1.1,10.1,1.1,8.3,1.1,*-1.8,1.3
Washington,7.9,1.4,9.7,1.6,7.6,1.3,*-2.1,1.6
West Virginia,14.6,1.6,16.5,1.9,14.0,1.7,*-2.5,1.6
Wisconsin,8.3,1.1,8.9,1.0,8.2,1.4,-0.8,1.5
Wyoming,9.5,1.5,11.2,1.7,9.5,1.6,*-1.7,1.5
*An asterisk preceding an estimate indicates change is statistically different from zero at the 90 percent confidence level.,,,,,,,,
"1 To calculate this 2-year average, we used the 2018 Bridge File.",,,,,,,,
"2 A margin of error (MOE) is a measure of an estimate’s variability. The larger the MOE in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval. MOEs shown in this table are based on standard errors calculated using replicate weights. ",,,,,,,,
Note: Details may not sum to totals because of rounding.,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 1960 to 2021 Annual Social and Economic Supplements (CPS ASEC).",,,,,,,,
