"Notes"	"Standard Residence States"	"Standard Residence States Code"	"Year"	"Year Code"	Fetal Deaths
	"Alabama"	"01"	"2005"	"2005"	534
	"Alabama"	"01"	"2006"	"2006"	573
	"Alabama"	"01"	"2007"	"2007"	578
	"Alabama"	"01"	"2008"	"2008"	594
	"Alabama"	"01"	"2009"	"2009"	544
	"Alabama"	"01"	"2010"	"2010"	550
	"Alabama"	"01"	"2011"	"2011"	529
	"Alabama"	"01"	"2012"	"2012"	527
	"Alabama"	"01"	"2013"	"2013"	521
	"Alabama"	"01"	"2014"	"2014"	528
	"Alabama"	"01"	"2015"	"2015"	544
	"Alabama"	"01"	"2016"	"2016"	558
	"Alabama"	"01"	"2017"	"2017"	545
	"Alabama"	"01"	"2018"	"2018"	497
	"Alabama"	"01"	"2019"	"2019"	526
	"Alabama"	"01"	"2020"	"2020"	489
"Total"	"Alabama"	"01"			8637
	"Alaska"	"02"	"2005"	"2005"	48
	"Alaska"	"02"	"2006"	"2006"	60
	"Alaska"	"02"	"2007"	"2007"	65
	"Alaska"	"02"	"2008"	"2008"	44
	"Alaska"	"02"	"2009"	"2009"	53
	"Alaska"	"02"	"2010"	"2010"	50
	"Alaska"	"02"	"2011"	"2011"	62
	"Alaska"	"02"	"2012"	"2012"	67
	"Alaska"	"02"	"2013"	"2013"	57
	"Alaska"	"02"	"2014"	"2014"	64
	"Alaska"	"02"	"2015"	"2015"	58
	"Alaska"	"02"	"2016"	"2016"	77
	"Alaska"	"02"	"2017"	"2017"	74
	"Alaska"	"02"	"2018"	"2018"	46
	"Alaska"	"02"	"2019"	"2019"	55
	"Alaska"	"02"	"2020"	"2020"	54
"Total"	"Alaska"	"02"			934
	"Arizona"	"04"	"2005"	"2005"	569
	"Arizona"	"04"	"2006"	"2006"	564
	"Arizona"	"04"	"2007"	"2007"	602
	"Arizona"	"04"	"2008"	"2008"	579
	"Arizona"	"04"	"2009"	"2009"	537
	"Arizona"	"04"	"2010"	"2010"	463
	"Arizona"	"04"	"2011"	"2011"	493
	"Arizona"	"04"	"2012"	"2012"	481
	"Arizona"	"04"	"2013"	"2013"	505
	"Arizona"	"04"	"2014"	"2014"	517
	"Arizona"	"04"	"2015"	"2015"	523
	"Arizona"	"04"	"2016"	"2016"	464
	"Arizona"	"04"	"2017"	"2017"	466
	"Arizona"	"04"	"2018"	"2018"	475
	"Arizona"	"04"	"2019"	"2019"	497
	"Arizona"	"04"	"2020"	"2020"	459
"Total"	"Arizona"	"04"			8194
	"Arkansas"	"05"	"2005"	"2005"	279
	"Arkansas"	"05"	"2006"	"2006"	308
	"Arkansas"	"05"	"2007"	"2007"	276
	"Arkansas"	"05"	"2008"	"2008"	287
	"Arkansas"	"05"	"2009"	"2009"	231
	"Arkansas"	"05"	"2010"	"2010"	276
	"Arkansas"	"05"	"2011"	"2011"	251
	"Arkansas"	"05"	"2012"	"2012"	298
	"Arkansas"	"05"	"2013"	"2013"	248
	"Arkansas"	"05"	"2014"	"2014"	218
	"Arkansas"	"05"	"2015"	"2015"	248
	"Arkansas"	"05"	"2016"	"2016"	211
	"Arkansas"	"05"	"2017"	"2017"	244
	"Arkansas"	"05"	"2018"	"2018"	262
	"Arkansas"	"05"	"2019"	"2019"	306
	"Arkansas"	"05"	"2020"	"2020"	318
"Total"	"Arkansas"	"05"			4261
	"California"	"06"	"2005"	"2005"	3051
	"California"	"06"	"2006"	"2006"	2974
	"California"	"06"	"2007"	"2007"	2911
	"California"	"06"	"2008"	"2008"	2831
	"California"	"06"	"2009"	"2009"	2615
	"California"	"06"	"2010"	"2010"	2576
	"California"	"06"	"2011"	"2011"	2469
	"California"	"06"	"2012"	"2012"	2485
	"California"	"06"	"2013"	"2013"	2557
	"California"	"06"	"2014"	"2014"	2635
	"California"	"06"	"2015"	"2015"	2465
	"California"	"06"	"2016"	"2016"	2510
	"California"	"06"	"2017"	"2017"	2401
	"California"	"06"	"2018"	"2018"	2278
	"California"	"06"	"2019"	"2019"	2171
	"California"	"06"	"2020"	"2020"	2196
"Total"	"California"	"06"			41125
	"Colorado"	"08"	"2005"	"2005"	378
	"Colorado"	"08"	"2006"	"2006"	383
	"Colorado"	"08"	"2007"	"2007"	326
	"Colorado"	"08"	"2008"	"2008"	357
	"Colorado"	"08"	"2009"	"2009"	346
	"Colorado"	"08"	"2010"	"2010"	355
	"Colorado"	"08"	"2011"	"2011"	360
	"Colorado"	"08"	"2012"	"2012"	357
	"Colorado"	"08"	"2013"	"2013"	335
