State,Number of Deaths 2018-2020,"Maternal Mortality Rate per 100,000 live Births 2018-2020"
United States,2273,20.4
Alabama,63,36.2
Alaska,8,NA
Arizona,67,28.3
Arkansas,44,40.4
California,135,10.2
Colorado,27,14.4
Connecticut,18,NA
Delaware,5,NA
District of Columbia,7,NA
Florida,141,21.7
Georgia,108,28.8
Hawaii,7,NA
Idaho,11,NA
Illinois,54,12.9
Indiana,68,28.2
Iowa,14,NA
Kansas,23,21.7
Kentucky,63,39.7
Louisiana,56,31.8
Maine,3,NA
Maryland,39,18.6
Massachusetts,30,14.7
Michigan,63,19.6
Minnesota,19,NA
Mississippi,33,30.2
Missouri,54,25.2
Montana,8,NA
Nebraska,21,28.2
Nevada,20,19.2
New Hampshire,2,NA
New Jersey,72,24.1
New Mexico,10,NA
New York,133,20.2
North Carolina,73,20.6
North Dakota,7,NA
Ohio,85,21.3
Oklahoma,36,24.6
Oregon,18,NA
Pennsylvania,60,15
Rhode Island,5,NA
South Carolina,49,28.9
South Dakota,7,NA
Tennessee,83,34.6
Texas,257,22.9
Utah,17,NA
Vermont,1,NA
Virginia,65,22.3
Washington,52,20.5
West Virginia,12,NA
Wisconsin,17,NA
Wyoming,3,NA
